t,y,type
0,6.45565E-05,conc
0.176666667,0.002665775,conc
0.355,0.195400968,conc
0.823333333,0.623395233,conc
1.323333333,1.199499685,conc
1.823333333,1.569647833,conc
2.323333333,2.15823023,conc
2.823333333,2.636954771,conc
3.323333333,2.814601332,conc
3.823333333,3.466158514,conc
4.323333333,3.963050175,conc
4.823333333,4.35391511,conc
5.323333333,5.182161367,conc
5.823333333,5.471691658,conc
6.323333333,6.269263576,conc
6.823333333,6.525491761,conc
7.323333333,6.816438211,conc
7.823333333,7.577523203,conc
8.323333333,7.953430367,conc
8.823333333,8.44672533,conc
9.323333333,9.384677472,conc
9.823333333,9.629608439,conc
10.32333333,9.991620308,conc
10.82333333,10.49468658,conc
11.32333333,10.57563093,conc
11.82333333,11.39878175,conc
12.32333333,11.75121089,conc
12.82333333,12.48191314,conc
13.32333333,12.95484014,conc
13.82333333,13.31679911,conc
14.32333333,13.84375588,conc
14.82333333,14.68826065,conc
15.32333333,15.23106397,conc
15.82333333,15.54422035,conc
16.32333333,15.90490219,conc
16.82333333,16.78081557,conc
17.32333333,17.44965837,conc
17.82333333,17.41350343,conc
18.32333333,18.20191114,conc
18.82333333,18.71737529,conc
19.32333333,19.39638508,conc
19.82333333,19.95989769,conc
20.32333333,20.53981969,conc
20.82333333,21.58942276,conc
21.32333333,21.5306251,conc
21.82333333,22.45247028,conc
22.32333333,23.09829701,conc
22.82333333,23.6557253,conc
23.32333333,23.44158007,conc
23.82333333,24.60244326,conc
24.32333333,24.83987473,conc
24.82333333,25.35534885,conc
25.32333333,25.83655856,conc
25.82333333,26.7448721,conc
26.32333333,26.99428975,conc
26.82333333,27.97163722,conc
27.32333333,28.89266098,conc
27.82333333,28.78824686,conc
28.32333333,29.25808909,conc
28.82333333,30.46326921,conc
29.32333333,30.64850823,conc
29.82333333,30.37472392,conc
30.32333333,31.90659894,conc
30.82333333,32.2811625,conc
31.32333333,31.97104236,conc
31.82333333,33.62637756,conc
32.32333333,34.67535372,conc
32.82333333,34.05959743,conc
33.32333333,35.24305851,conc
33.82333333,36.04573714,conc
34.32333333,35.46858019,conc
34.82333333,37.36307315,conc
35.32333333,37.61879004,conc
35.82333333,37.79984306,conc
36.32333333,39.0063679,conc
36.82333333,39.65926129,conc
37.32333333,39.51918985,conc
37.825,41.24766023,conc
38.325,41.17985049,conc
38.82333333,41.50191453,conc
39.32333333,43.8682643,conc
39.82333333,42.36103901,conc
40.32333333,43.60542403,conc
40.82333333,43.78059179,conc
41.32333333,45.66084776,conc
41.82333333,45.28180754,conc
42.32333333,45.47059656,conc
42.82333333,46.32533089,conc
43.32333333,47.31250194,conc
43.82333333,46.7210203,conc
44.32333333,47.36495878,conc
44.825,48.50532505,conc
45.32333333,47.78821218,conc
45.82333333,49.43393833,conc
46.325,50.23759527,conc
46.825,50.25462911,conc
47.32333333,51.54525129,conc
47.82333333,51.51980524,conc
48.32333333,52.91183293,conc
48.82333333,53.530076,conc
49.32333333,54.55200616,conc
49.82333333,53.01026244,conc
50.32333333,54.42808543,conc
50.82333333,54.57111521,conc
51.32333333,56.41754172,conc
51.82333333,55.65564329,conc
52.32333333,58.74748113,conc
52.82333333,56.44766249,conc
53.325,57.68199583,conc
53.82333333,58.05654532,conc
54.32333333,59.80475332,conc
54.82333333,59.53352932,conc
55.32333333,62.03395927,conc
55.82333333,60.39428619,conc
56.32333333,61.389467,conc
56.82333333,61.4913423,conc
57.32333333,61.15530851,conc
57.82333333,64.03310242,conc
58.32333333,63.86202361,conc
58.82333333,64.10079011,conc
59.325,64.58658761,conc
59.82333333,66.9150763,conc
60.32333333,65.16554972,conc
60.825,66.52218856,conc
61.325,66.04758749,conc
61.82333333,66.39556385,conc
62.32333333,69.60051361,conc
62.82333333,69.40960895,conc
63.325,69.62043115,conc
63.825,69.18049421,conc
64.325,70.86837461,conc
64.82333333,69.68902577,conc
65.32333333,70.82308958,conc
65.825,70.41806331,conc
66.325,70.37691204,conc
66.82333333,72.58384887,conc
67.32333333,71.54809187,conc
67.825,72.75801462,conc
68.325,72.56088124,conc
68.82333333,74.5857725,conc
69.32333333,73.43031822,conc
69.825,73.52350708,conc
70.325,75.15011684,conc
70.82333333,75.74745912,conc
71.32333333,76.88123008,conc
71.825,76.16836896,conc
72.325,77.39037651,conc
72.82333333,79.25679295,conc
73.32333333,77.71985157,conc
73.82333333,79.96082571,conc
74.325,78.29073654,conc
74.825,79.97034895,conc
75.32333333,80.9234531,conc
75.82333333,80.73637477,conc
76.325,80.72034671,conc
76.825,82.79376344,conc
77.32333333,81.48410194,conc
77.82333333,84.19590002,conc
78.325,82.62015751,conc
78.825,81.18232772,conc
79.325,84.02958717,conc
79.82333333,84.13207098,conc
80.32333333,81.73703243,conc
80.825,86.57900342,conc
81.32333333,85.75613027,conc
81.82333333,84.1490852,conc
82.325,85.1102192,conc
82.825,87.16508519,conc
83.325,87.08208858,conc
83.82333333,85.08362509,conc
84.32333333,88.37418017,conc
84.825,88.39616972,conc
85.325,88.27440862,conc
85.825,87.42555695,conc
86.325,90.26152389,conc
86.825,89.16754994,conc
87.325,90.00570751,conc
87.82333333,91.89797233,conc
88.32333333,89.19482685,conc
88.825,91.88317169,conc
89.325,90.36801251,conc
89.825,90.12482842,conc
90.32333333,91.8332028,conc
90.825,93.04601418,conc
91.32333333,95.25799302,conc
91.825,93.83854422,conc
92.325,94.12414659,conc
92.825,93.48345482,conc
93.325,94.51252679,conc
93.825,94.89264774,conc
94.32333333,95.99219377,conc
94.82333333,96.40421327,conc
95.32333333,95.37434637,conc
95.82333333,95.16730228,conc
96.325,97.18065932,conc
96.825,96.06933108,conc
97.32333333,95.29747509,conc
97.82333333,97.90754622,conc
98.325,98.16300468,conc
98.825,98.9651901,conc
99.325,98.97259561,conc
99.825,100.2310262,conc
100.325,98.24679427,conc
100.825,99.96390744,conc
101.3233333,98.04322867,conc
101.8233333,100.5525364,conc
102.3233333,101.6876824,conc
102.825,102.069059,conc
103.3233333,100.4867348,conc
103.8233333,102.2569965,conc
104.325,102.9242806,conc
104.825,103.2021925,conc
105.325,101.7016011,conc
105.825,103.0686385,conc
106.325,104.3701953,conc
106.825,102.8803142,conc
107.325,103.0209,conc
107.825,103.3244366,conc
108.325,104.4564477,conc
108.825,103.0162615,conc
109.325,105.3315141,conc
109.8233333,105.6755616,conc
110.3233333,104.5329658,conc
110.8233333,105.8317697,conc
111.3233333,104.2130745,conc
111.825,105.5704607,conc
112.325,105.9907736,conc
112.825,108.9242138,conc
